0.0061	0.1257	0.8566	0.0048	0.0015	0.0052
0.0318	0.0104	0.0763	0.0244	0.5421	0.3150
0.0000	0.0000	0.0001	0.0000	0.9997	0.0001
0.0003	0.0000	0.0009	0.0002	0.9981	0.0005
0.9880	0.0001	0.0067	0.0028	0.0022	0.0003
0.0001	0.0000	0.0001	0.0000	0.0001	0.9996
0.0125	0.0062	0.9299	0.0231	0.0263	0.0020
0.0648	0.0024	0.1460	0.0160	0.1008	0.6700
0.0162	0.0039	0.0347	0.0489	0.8165	0.0799
0.0381	0.3511	0.0432	0.0633	0.4419	0.0624
0.1598	0.3331	0.3544	0.1084	0.0251	0.0191
0.0034	0.0088	0.0417	0.0021	0.0389	0.9052
0.1806	0.1050	0.3823	0.2006	0.0924	0.0391
0.0201	0.0009	0.0056	0.0023	0.0154	0.9557
0.9937	0.0003	0.0006	0.0005	0.0000	0.0049
0.0023	0.0002	0.9948	0.0020	0.0000	0.0006
0.1301	0.3485	0.1100	0.1839	0.0416	0.1859
0.0065	0.0064	0.6069	0.0256	0.3082	0.0465
0.0042	0.0019	0.0023	0.0022	0.0527	0.9368
0.2414	0.6745	0.0210	0.0366	0.0072	0.0192
0.0097	0.0112	0.0082	0.0120	0.0622	0.8967
0.0005	0.0001	0.9963	0.0007	0.0014	0.0010
0.2466	0.0083	0.0172	0.0146	0.0478	0.6655
0.0010	0.0005	0.0001	0.9957	0.0002	0.0024
0.0057	0.4304	0.0582	0.5023	0.0006	0.0028
0.0000	0.0000	0.0002	0.0001	0.9994	0.0003
0.0081	0.0531	0.6424	0.0027	0.0935	0.2002
0.0233	0.8931	0.0370	0.0180	0.0033	0.0251
0.0018	0.0006	0.9914	0.0015	0.0003	0.0045
0.0004	0.0001	0.0009	0.0001	0.0002	0.9983
0.0001	0.0000	0.9991	0.0005	0.0000	0.0003
0.0048	0.0005	0.0013	0.0039	0.5816	0.4079
0.0111	0.0014	0.9664	0.0143	0.0004	0.0065
0.0018	0.0012	0.9780	0.0114	0.0063	0.0014
0.0005	0.0007	0.0021	0.0014	0.9727	0.0225
0.0023	0.0008	0.9881	0.0018	0.0006	0.0065
0.0001	0.0000	0.9942	0.0010	0.0038	0.0008
0.0001	0.0001	0.0001	0.9995	0.0001	0.0002
0.0001	0.0000	0.9990	0.0003	0.0004	0.0001
0.0001	0.0001	0.9993	0.0004	0.0000	0.0001
0.0089	0.9360	0.0105	0.0159	0.0158	0.0130
0.0041	0.0023	0.0209	0.0119	0.0485	0.9121
0.0002	0.0003	0.9961	0.0005	0.0022	0.0007
0.0013	0.0011	0.0026	0.9861	0.0021	0.0068
0.9342	0.0007	0.0008	0.0020	0.0006	0.0617
0.0012	0.0031	0.0007	0.0026	0.9304	0.0621
0.0002	0.0001	0.0001	0.0002	0.0003	0.9990
0.0003	0.0065	0.0013	0.0042	0.9804	0.0073
0.1909	0.0278	0.0152	0.0106	0.0025	0.7531
0.0359	0.0209	0.3078	0.0597	0.4145	0.1611
0.0018	0.0020	0.0017	0.0030	0.0157	0.9758
0.0404	0.4238	0.3748	0.1067	0.0072	0.0472
0.0000	0.0031	0.9962	0.0002	0.0000	0.0004
0.0014	0.0144	0.0005	0.0006	0.0003	0.9828
0.0322	0.0057	0.8359	0.0294	0.0866	0.0103
0.0048	0.0050	0.0166	0.0855	0.7479	0.1401
0.0001	0.0000	0.0001	0.0000	0.0001	0.9997
0.0116	0.8508	0.0525	0.0093	0.0136	0.0621
