0.0010	0.0003	0.0001	0.0002	0.0000	0.9968	0.0016
0.0002	0.0007	0.9939	0.0021	0.0006	0.0004	0.0021
0.9607	0.0355	0.0006	0.0008	0.0009	0.0015	0.0000
0.0009	0.9957	0.0006	0.0011	0.0008	0.0007	0.0003
0.0010	0.0078	0.9681	0.0101	0.0038	0.0027	0.0066
0.9959	0.0004	0.0006	0.0002	0.0018	0.0011	0.0000
0.9933	0.0006	0.0014	0.0007	0.0019	0.0019	0.0002
0.0059	0.0033	0.0038	0.0015	0.0192	0.0030	0.9634
0.0004	0.0002	0.0003	0.0001	0.0020	0.0003	0.9966
0.0010	0.0004	0.0001	0.0003	0.0001	0.9978	0.0003
0.0073	0.0021	0.0017	0.0052	0.0011	0.9696	0.0130
0.0431	0.0001	0.0001	0.0002	0.0000	0.0712	0.8852
0.0884	0.0198	0.0303	0.0323	0.0484	0.5277	0.2530
0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.9999
0.0027	0.0007	0.0004	0.0029	0.0001	0.9750	0.0183
0.9964	0.0000	0.0002	0.0002	0.0003	0.0029	0.0001
0.4980	0.0050	0.0084	0.0095	0.0261	0.3263	0.1267
0.0009	0.7526	0.1606	0.0398	0.0442	0.0012	0.0007
0.9952	0.0015	0.0009	0.0001	0.0016	0.0006	0.0001
0.0017	0.0003	0.0013	0.0004	0.0002	0.0075	0.9886
0.0007	0.9758	0.0013	0.0032	0.0178	0.0008	0.0003
0.0094	0.0442	0.0246	0.0689	0.0082	0.0317	0.8130
0.0159	0.0266	0.0517	0.0479	0.0243	0.0342	0.7993
0.0104	0.0205	0.9114	0.0133	0.0395	0.0032	0.0016
0.0118	0.0176	0.9175	0.0138	0.0332	0.0037	0.0024
0.0049	0.0042	0.8864	0.0109	0.0856	0.0037	0.0043
0.0030	0.9168	0.0051	0.0025	0.0700	0.0019	0.0006
0.0016	0.9636	0.0016	0.0022	0.0289	0.0016	0.0007
0.0018	0.0126	0.9494	0.0032	0.0303	0.0010	0.0019
0.0894	0.0672	0.5288	0.0135	0.0543	0.0595	0.1873
0.0025	0.6922	0.0144	0.0042	0.2850	0.0013	0.0005
0.0002	0.9991	0.0001	0.0000	0.0001	0.0005	0.0001
0.9994	0.0001	0.0002	0.0000	0.0003	0.0001	0.0000
0.9988	0.0001	0.0003	0.0000	0.0005	0.0002	0.0000
0.9892	0.0005	0.0008	0.0002	0.0046	0.0047	0.0001
0.0001	0.0009	0.0189	0.9784	0.0005	0.0004	0.0008
0.0000	0.0014	0.0175	0.9747	0.0001	0.0002	0.0061
0.9804	0.0006	0.0050	0.0045	0.0008	0.0081	0.0006
0.9974	0.0001	0.0008	0.0001	0.0004	0.0012	0.0001
0.4656	0.0103	0.0119	0.0220	0.0024	0.4625	0.0253
0.0455	0.0136	0.1488	0.0230	0.0112	0.0902	0.6678
0.0082	0.2110	0.7056	0.0247	0.0252	0.0123	0.0131
0.0008	0.0021	0.1956	0.2165	0.0054	0.0115	0.5680
0.0000	0.0000	0.9998	0.0001	0.0000	0.0000	0.0000
0.0019	0.0030	0.7361	0.2457	0.0023	0.0021	0.0089
0.0096	0.0067	0.4017	0.2059	0.3262	0.0112	0.0387
0.0060	0.0068	0.0129	0.0382	0.0150	0.0106	0.9104
0.0829	0.0189	0.0052	0.0102	0.0095	0.8475	0.0258
0.0235	0.0497	0.5067	0.1162	0.1339	0.0432	0.1268
0.0003	0.0006	0.0052	0.9934	0.0002	0.0001	0.0001
0.0187	0.0052	0.0259	0.0041	0.0071	0.0173	0.9216
0.0294	0.0107	0.0041	0.0010	0.9516	0.0024	0.0008
0.0101	0.0009	0.0005	0.0035	0.0003	0.1213	0.8634
0.0154	0.0019	0.0010	0.0052	0.0006	0.1646	0.8112
0.0025	0.0012	0.9692	0.0176	0.0013	0.0021	0.0062
0.2369	0.0135	0.0232	0.0059	0.5680	0.0910	0.0615
0.7717	0.0003	0.0040	0.0004	0.0058	0.2141	0.0037
0.3650	0.0027	0.0030	0.0021	0.0021	0.6230	0.0020
0.0001	0.9993	0.0000	0.0001	0.0001	0.0004	0.0000
